Tahun,Muhammadiyah,Pemerintah & NU,Keterangan
Tahun M (Hijriah),1 Ramadan Muhammadiyah,1 Ramadan NU / Pemerintah,Status
2000 (1421 H),27-Nov-00,27-Nov-00,Sama
2001 (1422 H),16 November 2001 (Jumat),17 November 2001 (Sabtu),Beda (Muh duluan)
2002 (1423 H),6-Nov-02,6-Nov-02,Sama
2003 (1424 H),27 Oktober 2003,27 Oktober 2003,Sama
2004 (1425 H),15 Oktober 2004,15 Oktober 2004,Sama
2005 (1426 H),5 Oktober 2005,5 Oktober 2005,Sama
2006 (1427 H),24-Sep-06,24-Sep-06,Sama
2007 (1428 H),13-Sep-07,13-Sep-07,Sama
2008 (1429 H),1-Sep-08,1-Sep-08,Sama
2009 (1430 H),22 Agustus 2009,22 Agustus 2009,Sama
2010 (1431 H),11 Agustus 2010 (Rabu),11 Agustus 2010 (Rabu),Sama
2011,1 Agustus,1 Agustus,Sama
2012,20 Juli,21 Juli,Berbeda
2013,9 Juli ,10 Juli,Berbeda
2014,28 Juni,29 Juni,Berbeda
2015,18 Juni,18 Juni,Sama
2016,6 Juni,6 Juni,Sama
2017,27 Mei,27 Mei,Sama
2018,15 Juni,15 Juni,Sama
2019,6 Mei,6 Mei,Sama
2020,24  April,24  April,Sama
2021,13 April,13 April,Sama
2022,2 April,3 April,Berbeda
2023,23 Maret,23 Maret,Sama
2024,11 Maret,12 Maret,Berbeda
2025,1 Maret,1 Maret,Sama
,,,
,,,
,,,
Tahun,Keterangan,Muhammadiyah,NU
2001,Sama,16 Desember,16 Desember
2002,Berbeda,5 Desember,6 Desember
2003,Sama,25-Nov,25-Nov
2004,Sama,14-Nov,14-Nov
2005,Sama,3-Nov,3-Nov
2006,Berbeda,23 Oktober,24 Oktober
2007,Berbeda,12 Oktober,13 Oktober
2008,Sama,1 oktober,1 oktober
2009,Sama,20-Sep,20-Sep
2010,Sama,10-Sep,10-Sep
2011,Berbeda,30 Agustus,31 Agustus
2012,Sama,19 Agustus,19 Agustus
2013,Sama,8 Agustus,8 Agustus
2014,Sama,28 Juli,28 Juli
2015,Sama,17 Juli,17 Juli
2016,Sama,6 Juli,6 Juli
2017,Sama,25 Juni,25 Juni
2018,Sama,15 Juni,15 Juni
2019,Sama,5 Juni,5 Juni
2020,Sama,24 Mei,24 Mei
2021,Sama,13 Mei,13 Mei
2022,Sama,2 Mei,2 Mei
2023,Berbeda,21 April,22 April
2024,Sama,10 April ,10 April
2025,Sama,31 Maret ,31 Maret 
2026,Berbeda,20 Maret ,21 Maret 
,,,
,,,
Sumber:,,,
"https://www.cnbcindonesia.com/research/20250228201021-128-614624/awal-ramadan-dalam-15-tahun-nu-muhammadiyah-beda-berapa-kali
https://eprints.walisongo.ac.id/20055/1/Tesis_2002048005_Izza_Nur_Fitrotun_Nisa%27.pdf
https://eprints.walisongo.ac.id/id/eprint/17316/1/Skripsi_1502046064_Samsul_Huda.pdf",,,
https://youtu.be/y9CyguGdkAs?si=Wj_QC2jmV9TpcsL4,,,
https://www.cnbcindonesia.com/research/20260319201903-128-720327/dalam-25-tahun-berapa-kali-nu-muhammadiyah-merayakan-lebaran-beda,,,
